,team1,team2,games
666,Clemson,Duke,55
667,Clemson,Florida,13
668,Clemson,Florida State,36
669,Clemson,Georgia,60
670,Clemson,Georgia Tech,87
671,Clemson,Houston,0
672,Clemson,Illinois,1
673,Clemson,Indiana,0
674,Clemson,Iowa,0
675,Clemson,Iowa State,1
676,Clemson,Kansas,0
677,Clemson,Kansas State,0
678,Clemson,Kentucky,14
679,Clemson,Louisville,8
680,Clemson,LSU,4
681,Clemson,Maryland,62
682,Clemson,Miami,14
683,Clemson,Michigan,0
684,Clemson,Michigan State,0
685,Clemson,Minnesota,1
686,Clemson,Mississippi State,3
687,Clemson,Missouri,4
688,Clemson,NC State,90
689,Clemson,Nebraska,2
690,Clemson,North Carolina,58
691,Clemson,Northwestern,0
692,Clemson,Ohio State,5
693,Clemson,Oklahoma,5
694,Clemson,Oklahoma State,0
695,Clemson,Ole Miss,2
696,Clemson,Oregon,0
697,Clemson,Oregon State,0
698,Clemson,Penn State,1
699,Clemson,Pittsburgh,5
700,Clemson,Purdue,0
701,Clemson,Rutgers,0
702,Clemson,South Carolina,115
703,Clemson,Stanford,1
704,Clemson,Syracuse,12
705,Clemson,TCU,4
706,Clemson,Tennessee,19
707,Clemson,Texas,0
708,Clemson,Texas A&M,6
709,Clemson,Texas Tech,1
710,Clemson,UCF,1
711,Clemson,UCLA,0
712,Clemson,USC,1
713,Clemson,Utah,0
714,Clemson,Vanderbilt,4
715,Clemson,Virginia,49
716,Clemson,Virginia Tech,34
717,Clemson,Wake Forest,89
718,Clemson,Washington,0
719,Clemson,Washington State,0
720,Clemson,West Virginia,2
721,Clemson,Wisconsin,0
722,Clemson,Notre Dame,8
723,Clemson,Connecticut,1
724,Clemson,SMU,0
725,Clemson,Tulane,10
726,Colorado,Duke,0
727,Colorado,Florida,0
728,Colorado,Florida State,3
729,Colorado,Georgia,2
730,Colorado,Georgia Tech,0
731,Colorado,Houston,1
732,Colorado,Illinois,2
733,Colorado,Indiana,4
734,Colorado,Iowa,2
735,Colorado,Iowa State,65
736,Colorado,Kansas,70
737,Colorado,Kansas State,66
738,Colorado,Kentucky,0
739,Colorado,Louisville,0
740,Colorado,LSU,6
741,Colorado,Maryland,0
742,Colorado,Miami,8
743,Colorado,Michigan,5
744,Colorado,Michigan State,3
745,Colorado,Minnesota,5
746,Colorado,Mississippi State,0
747,Colorado,Missouri,75
748,Colorado,NC State,0
749,Colorado,Nebraska,71
750,Colorado,North Carolina,0
751,Colorado,Northwestern,2
752,Colorado,Ohio State,5
753,Colorado,Oklahoma,59
754,Colorado,Oklahoma State,47
755,Colorado,Ole Miss,0
756,Colorado,Oregon,25
757,Colorado,Oregon State,14
758,Colorado,Penn State,2
759,Colorado,Pittsburgh,0
760,Colorado,Purdue,0
761,Colorado,Rutgers,0
762,Colorado,South Carolina,0
763,Colorado,Stanford,13
764,Colorado,Syracuse,1
765,Colorado,TCU,2
766,Colorado,Tennessee,1
767,Colorado,Texas,19
768,Colorado,Texas A&M,10
769,Colorado,Texas Tech,10
770,Colorado,UCF,0
771,Colorado,UCLA,19
772,Colorado,USC,17
773,Colorado,Utah,70
774,Colorado,Vanderbilt,0
775,Colorado,Virginia,0
776,Colorado,Virginia Tech,0
777,Colorado,Wake Forest,0
778,Colorado,Washington,21
779,Colorado,Washington State,14
780,Colorado,West Virginia,2
781,Colorado,Wisconsin,6
782,Colorado,Notre Dame,5
783,Colorado,Connecticut,0
784,Colorado,SMU,0
785,Colorado,Tulane,1
786,Duke,Florida,5
787,Duke,Florida State,22
788,Duke,Georgia,1
